korean,english,chapter,chapterName
을,for (something / someone),11,Food
알,counter for pill / tablet,11,Food
씩,each,11,Food
(드라마에) 나오다,to appear (in a drama),11,Food
잘되다,to turn out well,11,Food
채소,vegetable,11,Food
대표,representative,11,Food
고추장,red pepper paste,11,Food
치즈,cheese,11,Food
한식,Korean food,11,Food
일식,Japanese food,11,Food
중식,Chinese food,11,Food
양식,Western food,11,Food
채식,vegetarian food,11,Food
메뉴,menu,11,Food
추천,recommendation,11,Food
후기,review,11,Food
맛,taste,11,Food
값이 싸다,price is cheap / expensive,11,Food
서비스가 좋다,service is good / bad,11,Food
분위기가 좋다,atmosphere is good / bad,11,Food
싱싱하다,to be fresh,11,Food
물냉면,cold buckwheat noodles,11,Food
국물,soup,11,Food
가져다주다,to bring something to someone / deliver,11,Food
배달,delivery,11,Food
후식,dessert,11,Food
빼다,to take out,11,Food
반찬,side dish(es),11,Food
색깔,color,12,Appearances & Personalities
까만색,black,12,Appearances & Personalities
하얀색,white,12,Appearances & Personalities
회색,gray,12,Appearances & Personalities
빨간색,red,12,Appearances & Personalities
노란색,yellow,12,Appearances & Personalities
파란색,blue,12,Appearances & Personalities
초록색,green,12,Appearances & Personalities
보라색,purple,12,Appearances & Personalities
주황색,orange,12,Appearances & Personalities
갈색,brown,12,Appearances & Personalities
분홍색,pink,12,Appearances & Personalities
하늘색,sky blue,12,Appearances & Personalities
끼다,"to put on (ring, glasses, etc.)",12,Appearances & Personalities
하다,"to wear (necktie, scarf, etc.)",12,Appearances & Personalities
메다,to carry (bag),12,Appearances & Personalities
글쎄,well,12,Appearances & Personalities
청바지,blue jeans,12,Appearances & Personalities
장갑,gloves,12,Appearances & Personalities
목도리,scarf / muffler,12,Appearances & Personalities
동아리,club,12,Appearances & Personalities
선배,upper classmate,12,Appearances & Personalities
기억이 나다,to remember,12,Appearances & Personalities
안내 데스크,information desk,12,Appearances & Personalities
코끼리,elephant,12,Appearances & Personalities
창피하다,to be embarrassed,12,Appearances & Personalities
돌아가시다,to pass away,12,Appearances & Personalities
장례식장,funeral hall,12,Appearances & Personalities
갈아입다,to change one’s clothes,12,Appearances & Personalities
힘이 나다,to be encouraged,12,Appearances & Personalities
면접,interview,12,Appearances & Personalities
정장,suit,12,Appearances & Personalities
쳐다보다,to look at,12,Appearances & Personalities
활발하다,to be active,12,Appearances & Personalities
내성적이다,to be introverted,12,Appearances & Personalities
부지런하다,to be diligent,12,Appearances & Personalities
게으르다,to be lazy,12,Appearances & Personalities
성격이 급하다,to be impatient,12,Appearances & Personalities
느긋하다,to be laid back,12,Appearances & Personalities
착하다,to be nice,12,Appearances & Personalities
댓글,comments,12,Appearances & Personalities
크다,to grow,12,Appearances & Personalities
낳다,to give birth,12,Appearances & Personalities
가장,the most,12,Appearances & Personalities
초등학생,elementary school student,12,Appearances & Personalities
때,at the time,12,Appearances & Personalities
반,class,12,Appearances & Personalities
옆집,next-door house,12,Appearances & Personalities
비슷하다,to be similar,12,Appearances & Personalities
닮다,to resemble,12,Appearances & Personalities
매우,very,12,Appearances & Personalities
외모,appearance,12,Appearances & Personalities
고등학생,high school student,12,Appearances & Personalities
만남,meeting,12,Appearances & Personalities
생기다,to look like,12,Appearances & Personalities
바라다,to wish,12,Appearances & Personalities
이상형,ideal type,12,Appearances & Personalities
기쁘다,to be delighted,13,Emotions
신나다,to be excited,13,Emotions
즐겁다,to be joyful,13,Emotions
외롭다,to be lonely,13,Emotions
답답하다,to be frustrated,13,Emotions
속상하다,to be upset,13,Emotions
화나다,to be angry,13,Emotions
짜증이 나다,to be annoyed,13,Emotions
긴장되다,to be nervous,13,Emotions
걱정되다,to be worried,13,Emotions
기대되다,to look forward to,13,Emotions
아끼다,to cherish,13,Emotions
몰래,secretly,13,Emotions
휴가를 내다,to take a vacation,13,Emotions
끝내다,to end,13,Emotions
연구소,research institute,13,Emotions
조언하다,to advise,13,Emotions
알아주다,to acknowledge,13,Emotions
올리다,to improve,13,Emotions
사이가 가깝다,to be close / not be close,13,Emotions
사이가 좋다,to be on good / bad terms,13,Emotions
거절하다,to refuse,13,Emotions
사귀다,to date,13,Emotions
헤어지다,to break up,13,Emotions
직장,workplace,13,Emotions
점심시간,lunch time,13,Emotions
동료,co-worker,13,Emotions
놀랍다,to be surprising,13,Emotions
익숙하다,to be familiar,13,Emotions
편안하다,to be comfortable,13,Emotions
해결,resolution,13,Emotions
행동,behavior,13,Emotions
결과,result,13,Emotions
하루 종일,all day,13,Emotions
인생,life,14,Life
태어나다,to be born,14,Life
사랑에 빠지다,to fall in love,14,Life
아기를 낳다,to give birth to a baby,14,Life
아이를 키우다,to raise a child,14,Life
승진하다,to be promoted,14,Life
은퇴하다,to retire,14,Life
죽다,to die,14,Life
아저씨,mister,14,Life
다행이다,to be fortunate,14,Life
사장님,president / owner,14,Life
아주머니,ma’am,14,Life
챙기다,to take care of,14,Life
운전사,driver,14,Life
아나운서,announcer,14,Life
실수하다,to make a mistake,14,Life
하나하나,one by one,14,Life
부딪히다,to bump into,14,Life
넘어지다,to fall,14,Life
미끄러지다,to slip,14,Life
놓치다,to miss,14,Life
떨어뜨리다,to drop,14,Life
불이 나다,to be a fire,14,Life
사고가 나다,to be in an accident,14,Life
고장이 나다,to be broken,14,Life
엘리베이터,elevator,14,Life
어떤,some,14,Life
줍다,to pick up,14,Life
어느 날,one day,14,Life
밤늦다,late at night,14,Life
그날,that day,14,Life
막차,last bus / train,14,Life
당황하다,to be flustered,14,Life
모습,image,14,Life
마지막,the last,14,Life
초등학교,elementary school,14,Life
사고를 당하다,to get in an accident,14,Life
환갑잔치,60th birthday party,14,Life
환갑,60th birthday,14,Life
방이 넓다,room is large,15,House
월세가 싸다,monthly rent is cheap,15,House
시설이 좋다,amenities are nice,15,House
주변이 조용하다,surroundings are quiet,15,House
햇빛이 잘 들어오다,to have good sunlight,15,House
집주인이 좋다,landlord is nice,15,House
전망이 좋다,view is nice,15,House
새로 지었다,to be newly built,15,House
오래되다,to be old,15,House
관리비,maintenance fee,15,House
전기 요금,electricity bill,15,House
가스 요금,gas bill,15,House
수도 요금,water bill,15,House
이상하다,to be strange,15,House
중개인,realtor,15,House
보증금,security deposit,15,House
마침,just then,15,House
시끄럽다,to be noisy,15,House
크기,size,15,House
이웃,neighbor,15,House
윗집,house upstairs,15,House
뛰어다니다,to run around,15,House
빈방,vacant room,15,House
부동산,real estate agency,15,House
큰길,big street,15,House
기숙사,dorm(itory),15,House
아파트,condo / apartment,15,House
주택,house,15,House
빌라,villa,15,House
오피스텔,studio apartment,15,House
거실,living room,15,House
베란다,veranda,15,House
현관,entrance,15,House
마당,yard,15,House
짓다,to build,15,House
서두르다,to rush,15,House
남향,southward,15,House
거리,distance,15,House
주차,parking,15,House
대,counter for vehicles,15,House
경비실,security office,15,House
걸리다,to be hung,15,House
동네,neighborhood,15,House
장단점,pros and cons,15,House
느낌,feeling,15,House
차,car,15,House
구하다,to look for,15,House
조건,condition,15,House
공유 주택,co-living housing,15,House
반말을 하다,to speak informally,16,Etiquette
한 손으로 받다,to receive with one hand,16,Etiquette
두 손으로 드리다,to give with two hands,16,Etiquette
고개를 숙여서 인사하다,to bow to salute someone,16,Etiquette
이름을 부르다,to call out a name,16,Etiquette
다리를 꼬고 앉다,to sit with crossed legs,16,Etiquette
고개를 돌리고 마시다,to drink with head turned,16,Etiquette
예절,etiquette,16,Etiquette
밥그릇,rice bowl,16,Etiquette
들다,to hold,16,Etiquette
식탁,(dining) table,16,Etiquette
차이,difference,16,Etiquette
어른,elder,16,Etiquette
일어서다,to get up,16,Etiquette
금방,soon,16,Etiquette
말을 놓다,to talk casually,16,Etiquette
젓가락질,using chopsticks,16,Etiquette
지키다,to adhere / follow / keep,16,Etiquette
야단맞다,to be scolded,16,Etiquette
줄을 서다,to stand in line,16,Etiquette
자리를 양보하다,to offer one’s seat,16,Etiquette
발을 올리다,to put one’s feet up,16,Etiquette
문에 기대다,to lean on the door,16,Etiquette
뛰다,to run,16,Etiquette
금연,No Smoking,16,Etiquette
주차 금지,No Parking,16,Etiquette
출입 금지,No Entry,16,Etiquette
사진 촬영 금지,No Photos,16,Etiquette
휴대폰 사용 금지,No Cell Phones Allowed,16,Etiquette
음식물 반입 금지,No Food or Drinks Allowed,16,Etiquette
완료,completion,16,Etiquette
관람,viewing,16,Etiquette
공연장,performance hall,16,Etiquette
반입하다,to bring in,16,Etiquette
관객,audience,16,Etiquette
수저,spoon and chopsticks,16,Etiquette
밟다,to step on,16,Etiquette
잡다,to hold,16,Etiquette
술,alcohol,16,Etiquette
콘서트,concert,17,Culture
뮤지컬,musical,17,Culture
연극,play,17,Culture
음악회,classical music concert,17,Culture
관심이 없다,to have no interest,17,Culture
관심이 생기다,to start having interest,17,Culture
인기가 없다,to be unpopular,17,Culture
인기가 많다,to be popular,17,Culture
패션,fashion,17,Culture
전공하다,to major in,17,Culture
국립국악원,National Gugak Center,17,Culture
대학로,Daehak-ro,17,Culture
김치박물관,Kimchi Museum,17,Culture
서예,calligraphy,17,Culture
체험,experience,17,Culture
국립중앙박물관,National Museum of Korea,17,Culture
따르다,to tag along,17,Culture
분명히,certainly,17,Culture
가지,counter for kinds / types,17,Culture
악기,instrument,17,Culture
콘서트장,concert hall,17,Culture
세계적,worldwide,17,Culture
아이돌,idol,17,Culture
이야기를 나누다,to talk,17,Culture
명절,national holiday,17,Culture
떡국,rice cake soup,17,Culture
송편,half-moon rice cake,17,Culture
한과,Korean traditional cracker(s),17,Culture
식혜,sweet rice drink,17,Culture
성묘하다,to visit one’s ancestral grave,17,Culture
세배하다,to do the New Year’s bow,17,Culture
세뱃돈을 받다,to receive New Year’s money,17,Culture
윷놀이하다,to play a game of yut,17,Culture
소원을 빌다,to make a wish,17,Culture
드디어,finally,17,Culture
게임기,game console,17,Culture
친척,relative,17,Culture
매일매일,day after day,17,Culture
음력,lunar calendar,17,Culture
해,year,17,Culture
농사를 짓다,to farm,17,Culture
조상,ancestor,17,Culture
그해,that year,17,Culture
곡식,crop,17,Culture
묘,grave,17,Culture
돌보다,to take care of,17,Culture
반달,half moon,17,Culture
모양,shape,17,Culture
지역,region,17,Culture
재료,ingredient,17,Culture
씨름,Korean wrestling,17,Culture
보름달,full moon,17,Culture
의미,meaning,17,Culture
기념하다,to commemorate,17,Culture
변화,change,17,Culture
힘을 내다,to cheer up,17,Culture
연날리기,kite flying,17,Culture
아쉽다,to be sad,18,Memories & Dreams
후회가 되다,to regret,18,Memories & Dreams
꽃이 피다,flowers bloom,18,Memories & Dreams
장마가 시작되다,monsoon begins,18,Memories & Dreams
태풍이 오다,typhoon comes,18,Memories & Dreams
단풍이 들다,foliage change colors,18,Memories & Dreams
나뭇잎이 떨어지다,leaves fall,18,Memories & Dreams
얼음이 얼다,ice freezes,18,Memories & Dreams
눈이 내리다,snow falls,18,Memories & Dreams
스케이트,skate,18,Memories & Dreams
지난가을,last fall,18,Memories & Dreams
라디오,radio,18,Memories & Dreams
봄바람,spring wind,18,Memories & Dreams
게시판,bulletin board,18,Memories & Dreams
쿠폰,coupon,18,Memories & Dreams
과거,past,18,Memories & Dreams
현재,present,18,Memories & Dreams
미래,future,18,Memories & Dreams
꿈을 가지다,to have a dream,18,Memories & Dreams
꿈꾸다,to dream,18,Memories & Dreams
꿈을 이루다,to realize one’s dream,18,Memories & Dreams
노력하다,to make an effort,18,Memories & Dreams
떨어지다,to get rejected / fail,18,Memories & Dreams
합격하다,to pass / get accepted,18,Memories & Dreams
최근,lately,18,Memories & Dreams
유학생,study abroad student,18,Memories & Dreams
늘다,to increase,18,Memories & Dreams
세계,world,18,Memories & Dreams
입안,inside the mouth,18,Memories & Dreams
디자이너,designer,18,Memories & Dreams
모델,model,18,Memories & Dreams
직접,directly,18,Memories & Dreams
전날,the previous day,18,Memories & Dreams
중간시험,mid-term exam / test,18,Memories & Dreams
추억,memory,18,Memories & Dreams
사회과학,social science,18,Memories & Dreams
교육,education,18,Memories & Dreams
예술,art,18,Memories & Dreams
취업,getting a job,18,Memories & Dreams
진학,entering school,18,Memories & Dreams
출국,departing a country,18,Memories & Dreams
무료,free,10,School Life
라디오,radio,10,School Life
대회,competition,10,School Life
대단하다,to be incredible,10,School Life
성적표,report card,10,School Life
마리,counter for animals,10,School Life
비자,visa,10,School Life
사탕,candy,11,Food
레몬차,lemon tea,11,Food
소설,novel,11,Food
양,quantity,11,Food
이상,or more,11,Food
배달되다,to be delivered,11,Food
배달비,delivery fee,11,Food
가장,most,11,Food
세계,world,11,Food
갖다드리다,to take someone to some place (honorific expression),11,Food
경비실,security office,11,Food
정장,suit,12,Appearances & Personalities
마스크,mask,12,Appearances & Personalities
반지,ring,12,Appearances & Personalities
입에 맞다,to go well with one’s palate,12,Appearances & Personalities
참다,to endure,12,Appearances & Personalities
장례식,funeral,12,Appearances & Personalities
온 세상,whole world,12,Appearances & Personalities
배낭,backpack,12,Appearances & Personalities
목도리,scarf,12,Appearances & Personalities
결혼반지,wedding ring,12,Appearances & Personalities
답답하다,to be stuffy,12,Appearances & Personalities
면접,interview,12,Appearances & Personalities
셔츠,shirt,12,Appearances & Personalities
들다,to hold,12,Appearances & Personalities
빨리빨리,quickly,12,Appearances & Personalities
모델,model,12,Appearances & Personalities
개미,ant,12,Appearances & Personalities
천사,angel,12,Appearances & Personalities
정확하다,to be accurate,12,Appearances & Personalities
되다,to become,12,Appearances & Personalities
운동복,sportswear,12,Appearances & Personalities
꽃집,flower shop,12,Appearances & Personalities
창밖,outside the window,12,Appearances & Personalities
졸리다,to be sleepy,12,Appearances & Personalities
위험하다,to be dangerous,12,Appearances & Personalities
뛰다,to run,12,Appearances & Personalities
회원증,membership card,12,Appearances & Personalities
만두,dumpling,12,Appearances & Personalities
자원봉사자,volunteer,12,Appearances & Personalities
돌보다,to take care of,12,Appearances & Personalities
꼼꼼하다,to be meticulous,12,Appearances & Personalities
함께하다,to be together,12,Appearances & Personalities
어린이집,day care center,12,Appearances & Personalities
소중하다,to be precious,12,Appearances & Personalities
안내문,announcement,12,Appearances & Personalities
참가하다,to participate,12,Appearances & Personalities
평소,usually,12,Appearances & Personalities
중요하다,to be important,12,Appearances & Personalities
구름,cloud,12,Appearances & Personalities
나뭇잎,leaf,12,Appearances & Personalities
고치다,to correct,12,Appearances & Personalities
생선,fish,12,Appearances & Personalities
사장님,owner,12,Appearances & Personalities
어린이날,Children’s Day,13,Emotions
방귀를 뀌다,to fart,13,Emotions
배부르다,to be full,13,Emotions
새해,New Year,13,Emotions
소원,wish,13,Emotions
솔직히,honestly,13,Emotions
묻다,to be smeared with,13,Emotions
변하다,to change,13,Emotions
예전,old days,13,Emotions
방송국,broadcasting company,14,Life
유럽,Europe,14,Life
도움,help,14,Life
교복,school uniform,14,Life
분실물 센터,Lost & Found Center,14,Life
출장,business trip,14,Life
나무,tree,14,Life
젖다,to get wet,14,Life
지각하다,to be late,14,Life
끊다,to quit,14,Life
어린이,child(ren),14,Life
눈길,snowy road,14,Life
맥주,beer,15,House
계단,stairs,15,House
서다,to stand,15,House
눕다,to lie down,15,House
열리다,to be opened,15,House
닫히다,to be closed,15,House
걸리다,to be hung,15,House
달리다,to be dangled,15,House
놓이다,to be placed,15,House
붙다,to be attached,15,House
곰,bear,15,House
게시판,bulletin board,15,House
식탁,table,15,House
휴일,holiday,15,House
데이트,date,15,House
팬클럽,fan club,15,House
뜨겁다,to be hot,15,House
깜박,forgetfully,15,House
안전하다,to be safe,15,House
여행자,traveler,15,House
제공,offer,15,House
안쪽,inside,15,House
교통비,transportation expense,15,House
계약,contract,15,House
짜증을 내다,to act irritated,15,House
잘못하다,to do something wrong,15,House
화분,flower pot,15,House
금방,soon,15,House
옮기다,to move,15,House
졸업식,graduation ceremony,15,House
체육관,gymnasium,15,House
참석하다,to attend,15,House
가운,gown,15,House
돌려주다,to return,15,House
졸업장,diploma,15,House
대중교통,public transportation,15,House
어른,elder,16,Etiquette
돼지고기,pork,16,Etiquette
만화책,comic book,16,Etiquette
토마토,tomato,16,Etiquette
언어,language,16,Etiquette
급하다,to be urgent,16,Etiquette
쓰다,to use,16,Etiquette
기회,opportunity,17,Culture
첫사랑,first love,17,Culture
연기하다,to act,17,Culture
미래,future,17,Culture
깜빡하다,to forget,17,Culture
쌀,rice,17,Culture
달,moon,17,Culture
게임기,game console,17,Culture
민속촌,Folk Village,17,Culture
눈사람,snowman,18,Memories & Dreams
미끄럽다,to be slippery,18,Memories & Dreams
조심하다,to be careful,18,Memories & Dreams
축구공,soccer ball,18,Memories & Dreams
충분하다,to be enough,18,Memories & Dreams
실력,skill,18,Memories & Dreams
늘다,to improve,18,Memories & Dreams
인분,counter for serving(s),18,Memories & Dreams
조각,counter for piece or slice,18,Memories & Dreams
대하다,to treat,18,Memories & Dreams
후배,junior,18,Memories & Dreams
최고,the best,18,Memories & Dreams
한식당,Korean restaurant,18,Memories & Dreams
성공하다,to succeed,18,Memories & Dreams
주의하다,to be cautious,18,Memories & Dreams
선반,shelf,18,Memories & Dreams
노약자석,priority seat,18,Memories & Dreams
노인,old person (senior citizen),18,Memories & Dreams
엊그제,not too long ago,18,Memories & Dreams
남산골한옥마을,Namsangol Hanok Village,18,Memories & Dreams
차례상,memorial service table,18,Memories & Dreams
(상을) 차리다,to set (the table),18,Memories & Dreams
콩,bean,18,Memories & Dreams
깨,sesame seed,18,Memories & Dreams
규칙,rule,18,Memories & Dreams
설빔,New Year’s clothing,18,Memories & Dreams
나이가 들다,to grow older,18,Memories & Dreams
바로,right away,18,Memories & Dreams
속,inside,18,Memories & Dreams
주인공,main character,18,Memories & Dreams
자신,oneself,18,Memories & Dreams
