korean,english
재미없다,to not be fun
많다,to have many
비싸다,to be expensive
싸다,to be inexpensive
좋다,to be good
친절하다,to be friendly
깨끗하다,to be clean
비빔밥,bibimbap
삼겹살,samgyeopsal
불고기,bulgogi
김밥,gimbap
냉면,cold noodles
갈비탕,short rib soup
떡볶이,spicy rice cakes
김치,gimchi
김치찌개,gimchi stew
자주,often
직원,employee
치즈김밥,cheese gimbap
아주,very
라면,ramen / instant noodles
우동,udon
그런데,by the way
메뉴,menu
콜라,cola
사이다,soda
햄버거,hamburger
피자,pizza
스파게티,spaghetti
판,counter for a whole pizza
그래서,so
모두,all
월요일,Monday
화요일,Tuesday
수요일,Wednesday
목요일,Thursday
금요일,Friday
토요일,Saturday
일요일,Sunday
평일,weekday
주말,weekend
어제,yesterday
지난주,last week
이번 주,this week
다음 주,next week
아침,morning
점심,afternoon
저녁,evening
시간,time
태권도,Taekwondo
약속,plans
무슨,what
요일,day of the week
노래방,noraebang (singing room)
일월,January
이월,February
삼월,March
사월,April
오월,May
유월,June
칠월,July
팔월,August
구월,September
시월,October
십일월,November
십이월,December
월,month
일,day
며칠,what date
구경하다,to watch
등산하다,to hike
빨래하다,to do laundry
사진을 찍다,to take a photo
산책하다,to take a walk
쇼핑하다,to shop
청소하다,to clean
밥,meal
항상,always
제주도,Jeju Island
바다,beach
보통,usually
이태원,Itaewon
인사동,Insa-dong
부산,Busan
언제,when
날짜,date
대사관,embassy
가르치다,to teach
일어나다,to get up
세수하다,to wash one’s face
이를 닦다,to brush one’s teeth
화장하다,to put on makeup
옷을 입다,to wear clothes
샤워하다,to shower
요리하다,to cook
이야기하다,to talk
빨리,quickly
천천히,slowly
조금,a little
일찍,early
늦게,late
쯤,about / approximately
요가,yoga
회의하다,to hold a meeting
수업,class
요즘,these days
근처,nearby
생활,life
수업이 끝나다,class is over
시험이 끝나다,test is over
여행하다,to travel
캠핑을 하다,to go camping
축구하다,to play soccer
농구하다,to play basketball
야구하다,to play baseball
수영하다,to swim
테니스 치다,to play tennis
골프 치다,to play golf
한강,Hangang / Han River
캠핑장,campsite
정말,really
먼저,first
한복,hanbok
빌리다,to rent
경복궁,Gyeongbokgung Palace
밤,night
힘들다,to be hard / tough
날씨,weather
맑다,to be sunny
흐리다,to be cloudy
비가 오다,to rain
눈이 오다,to snow
따뜻하다,to be warm
시원하다,to be cool
바람이 불다,to be windy
계절,season
봄,spring
여름,summer
가을,fall / autumn
겨울,winter
어때요,How is it
이따,later
테니스장,tennis court
스키장,ski resort
강원도,Gangwon-do (Province)
예뻐요,It’s pretty
춥다,to be cold
덥다,to be hot
어렵다,to be difficult
쉽다,to be easy
무겁다,to be heavy
가볍다,to be light
맵다,to be spicy
무섭다,to be scary
귀엽다,to be cute
방학,(school) break
스키(를) 타다,to ski
처음,for the first time
하늘,sky
강아지,puppy
계속,continuously
나가다,to go out
시험,test
하지만,but
서울,Seoul
방콕,Bangkok
