korean,english
선물,present
받다,to receive
급,level
술,alcohol
걱정,worry
일,work
계속,continuously
여행 작가,travel writer
팬,fan
운동장,athletic ﬁeld
콘서트,concert
뉴욕,New York
항상,always
잠실,Jamsil
층,floor
비행기표,airplane ticket
극장,(movie) theater
문화,culture
길,street
얼마나,how long
하지만,but
멕시코,Mexico
시험공부,studying for a test
여름옷,summer clothes
알다,to know
새,new
두번,twice
설날,Lunar New Year’s Day
기간,period
신발,shoe(s)
어떤,what
슬프다,to be sad
겨울옷,winter clothes
열다,to open
외국어,foreign language
거울,mirror
여동생,younger sister
사랑하다,to love
군인,soldier
화장품,makeup
드리다,to give (honorific expression)
인사하다,问候
꽃집,花店
인터넷,网络
걸어서 가다,走着去
단어,word
질문,question
칠판,blackboard / whiteboard
반지,ring
닫다,to close
눈사람,snowman
